date,close,open,high,low,volume
1992-05-04,453.62,454.86,456.24,445.38,0.0
1992-05-05,449.21,447.42,455.36,439.96,0.0
1992-05-06,449.96,449.78,454.08,446.39,0.0
1992-05-07,454.65,452.86,457.05,449.55,0.0
1992-05-08,468.11,461.05,468.42,454.65,0.0
1992-05-11,491.5,483.29,490.19,468.11,0.0
1992-05-12,506.53,502.8,506.68,491.5,0.0
1992-05-13,514.04,505.27,517.86,499.4,0.0
1992-05-14,523.36,514.48,523.5,511.91,0.0
1992-05-15,544.35,529.39,544.56,523.36,0.0
1992-05-18,571.82,560.09,571.85,544.35,0.0
1992-05-19,598.11,590.41,598.11,571.82,0.0
1992-05-20,616.99,617.28,623.88,598.11,0.0
1992-05-21,1266.49,1260.32,1334.98,604.01,0.0
1992-05-22,1339.99,1306.37,1349.71,1262.44,0.0
1992-05-25,1421.57,1411.98,1428.79,1339.99,0.0
1992-05-26,1301.35,1332.39,1429.01,1291.0,0.0
1992-05-27,1193.17,1250.56,1285.61,823.36,0.0
1992-05-28,1160.17,1123.04,1184.18,1114.94,0.0
1992-05-29,1234.71,1243.65,1253.37,1154.01,0.0
1992-06-01,1183.24,1175.69,1249.58,1129.28,0.0
1992-06-02,1141.02,1155.88,1184.28,1138.58,0.0
1992-06-03,1059.07,1075.9,1141.02,1033.47,0.0
1992-06-04,1104.46,1087.49,1118.93,1050.45,0.0
1992-06-05,1105.76,1125.01,1143.07,1099.91,0.0
1992-06-08,1093.46,1092.07,1121.41,1085.19,0.0
1992-06-09,1126.62,1116.92,1144.39,1079.65,0.0
1992-06-10,1187.02,1199.23,1206.51,1134.73,0.0
1992-06-11,1178.3,1179.28,1188.68,1172.09,0.0
1992-06-12,1171.71,1164.12,1178.3,1153.97,0.0
1992-06-15,1171.85,1174.41,1181.86,1152.69,0.0
1992-06-16,1166.7,1171.75,1135.61,1164.24,0.0
1992-06-17,1169.57,1171.29,1186.59,1166.26,0.0
1992-06-18,1168.43,1167.16,1172.86,1158.32,0.0
1992-06-19,1171.94,1169.97,1171.94,1161.8,0.0
1992-06-22,1169.9,1173.68,1180.21,1165.74,0.0
1992-06-23,1158.17,1162.83,1172.46,1154.62,0.0
1992-06-24,1151.06,1150.89,1158.17,1144.46,0.0
1992-06-25,1160.23,1153.48,1160.23,1148.02,0.0
1992-06-26,1164.67,1164.29,1207.82,1160.23,0.0
1992-06-29,1169.51,1168.89,1173.49,1156.68,0.0
1992-06-30,1191.19,1186.62,1193.16,1169.51,0.0
1992-07-01,1194.18,1199.54,1215.13,1182.05,0.0
1992-07-02,1187.48,1187.3,1198.66,1179.86,0.0
1992-07-03,1189.16,1189.09,1193.39,1183.96,0.0
1992-07-06,1201.01,1197.76,1215.24,1190.27,0.0
1992-07-07,1206.46,1201.01,1206.91,1195.81,0.0
1992-07-08,1185.5,1192.37,1211.27,1182.72,0.0
1992-07-09,1178.53,1172.44,1187.18,1168.78,0.0
1992-07-10,1188.62,1175.14,1192.98,1166.45,0.0
1992-07-13,1136.33,1156.83,1198.9,1131.21,0.0
1992-07-14,1114.05,1124.65,1139.96,1110.19,0.0
