,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
3735,2018-04-20,22.22,2018-08-24,18.44,24.34,18,1.88,-17.01,002332
3736,2019-04-30,18.71,2019-05-24,15.97,17.38,3,0.0,-14.64,002332
3737,2019-09-12,20.14,2021-01-15,28.35,41.29,69,112.62,40.76,002332
3738,2022-01-07,31.57,2022-02-11,27.5,32.24,4,0.0,-12.89,002332
3739,2012-05-18,21.34,2012-07-13,15.36,20.86,8,0.0,-28.02,002333
3740,2013-10-11,15.76,2016-07-15,33.6,43.12,142,167.16,113.2,002333
3741,2016-07-22,36.7,2017-11-24,49.82,64.06,66,88.52,35.75,002333
3742,2018-03-23,50.36,2018-03-30,50.49,50.49,1,0.0,0.26,002333
3743,2018-06-01,51.42,2018-09-28,32.86,56.73,17,9.03,-36.09,002333
3744,2020-09-04,19.23,2021-09-17,20.57,23.96,54,19.09,6.97,002333
3745,2013-05-10,53.32,2013-07-26,45.49,56.82,11,10.31,-14.68,002334
3746,2013-08-30,54.96,2015-09-18,89.57,196.64,104,244.44,62.97,002334
3747,2015-11-27,123.84,2016-01-29,85.74,126.9,9,1.49,-30.77,002334
3748,2017-03-24,98.11,2017-04-21,88.37,96.47,4,1.27,-9.93,002334
3749,2017-09-22,103.04,2018-02-14,87.49,112.34,20,8.57,-15.09,002334
3750,2018-03-30,103.26,2018-05-18,82.24,102.38,7,0.0,-20.36,002334
3751,2019-04-19,83.11,2019-07-12,64.28,75.34,12,0.0,-22.66,002334
3752,2020-07-31,62.64,2021-02-26,57.39,72.93,30,15.41,-8.38,002334
3753,2013-04-26,30.8,2014-07-04,45.44,49.42,62,49.71,47.53,002335
3754,2014-07-11,45.64,2015-09-11,64.12,178.02,54,278.44,40.49,002335
3755,2015-12-04,108.36,2017-04-28,102.9,143.22,57,38.91,-5.04,002335
3756,2019-04-26,63.7,2019-12-13,55.75,63.22,33,9.23,-12.48,002335
3757,2020-02-07,64.82,2021-05-28,89.83,125.72,68,81.57,38.58,002335
3758,2011-04-08,40.98,2011-12-02,39.3,51.72,33,20.98,-4.1,002338
3759,2013-03-29,29.88,2013-04-19,29.43,29.55,3,0.0,-1.51,002338
3760,2013-06-14,30.27,2013-07-26,29.64,29.64,6,3.53,-2.08,002338
3761,2013-09-06,34.53,2015-09-25,68.94,156.78,107,363.3,99.65,002338
3762,2015-11-27,114.64,2016-03-11,73.15,119.35,14,5.47,-36.19,002338
3763,2019-03-08,47.55,2021-01-15,56.79,112.32,95,147.13,19.43,002338
3764,2012-04-27,24.12,2012-05-25,24.3,25.94,4,0.0,0.75,002339
3765,2012-06-29,26.58,2014-05-16,34.7,45.86,96,67.25,30.55,002339
3766,2014-09-26,47.14,2015-09-30,73.22,218.82,53,364.98,55.32,002339
3767,2015-11-13,118.78,2016-01-22,70.98,109.7,10,0.0,-40.24,002339
3768,2016-12-02,79.7,2017-06-30,56.1,80.74,23,1.76,-29.61,002339
3769,2019-03-22,37.9,2020-05-22,31.37,44.58,60,18.5,-17.23,002339
3770,2020-08-21,36.73,2021-01-22,32.88,40.21,22,10.59,-10.48,002339
3771,2012-06-15,77.55,2012-11-30,54.41,76.97,19,5.86,-29.84,002340
3772,2013-02-22,68.08,2014-01-10,65.09,83.41,46,17.93,-4.39,002340
3773,2014-02-21,78.07,2015-09-30,92.52,172.14,79,122.03,18.51,002340
3774,2015-11-27,130.48,2016-02-05,90.94,136.63,10,1.7,-30.3,002340
3775,2016-06-17,161.59,2017-01-17,106.75,163.17,30,6.05,-33.94,002340
3776,2017-03-10,150.17,2017-06-09,120.81,151.05,13,0.0,-19.55,002340
3777,2017-07-21,151.2,2018-06-22,137.86,199.87,47,20.86,-8.82,002340
3778,2019-11-08,105.19,2019-11-15,100.16,100.16,1,0.0,-4.78,002340
3779,2020-01-17,132.38,2020-05-15,106.56,147.0,16,8.79,-19.5,002340
3780,2020-07-17,126.44,2022-02-15,213.6,312.54,82,163.37,68.93,002340
3781,2012-08-10,43.6,2012-11-30,32.72,46.0,15,8.59,-24.95,002341
3782,2013-01-25,40.0,2015-02-13,71.76,86.52,93,101.21,79.4,002341
3783,2015-03-27,85.04,2015-08-21,53.57,131.81,20,38.34,-37.01,002341
3784,2016-05-27,78.41,2017-03-10,74.65,90.25,40,14.87,-4.8,002341
3785,2017-08-11,81.61,2018-08-31,90.99,120.67,48,37.92,11.49,002341
3786,2012-07-13,19.92,2012-12-14,14.47,20.18,21,0.0,-27.36,002342
3787,2013-02-08,19.37,2013-04-19,17.11,18.91,9,5.76,-11.67,002342
3788,2013-09-27,19.32,2013-12-27,14.35,20.83,13,4.2,-25.72,002342
3789,2014-09-26,17.86,2015-09-11,15.57,32.82,48,86.8,-12.82,002342
3790,2016-11-25,16.85,2017-11-17,16.69,33.82,50,97.09,-0.95,002342
3791,2019-04-19,11.84,2019-06-14,9.12,10.45,8,0.0,-22.97,002342
3792,2011-08-19,55.4,2011-11-11,52.12,55.36,11,0.0,-5.92,002344
3793,2012-04-06,53.26,2012-09-21,50.0,57.28,24,3.96,-6.12,002344
3794,2012-10-26,54.3,2014-02-14,66.56,89.92,67,66.33,22.58,002344
3795,2015-01-09,65.12,2015-08-28,57.56,119.36,30,79.76,-11.61,002344
3796,2016-12-16,48.74,2017-04-28,39.34,48.3,19,2.29,-19.29,002344
3797,2019-04-12,26.5,2019-06-14,22.18,26.7,9,0.0,-16.3,002344
3798,2020-07-10,22.7,2020-11-27,20.62,22.42,20,3.7,-9.16,002344
3799,2013-03-29,36.68,2014-02-07,36.14,40.97,45,15.87,-1.47,002345
3800,2014-02-14,41.81,2016-03-11,57.95,120.53,83,179.26,38.6,002345
3801,2017-01-06,73.13,2017-05-26,62.57,72.35,20,0.0,-14.44,002345
3802,2017-09-01,71.03,2018-05-04,62.51,75.05,18,5.75,-11.99,002345
3803,2013-08-30,14.69,2017-10-27,53.21,95.19,180,543.18,262.22,002346
3804,2019-04-04,34.27,2019-08-09,24.83,31.79,18,1.99,-27.55,002346
3805,2020-09-11,23.89,2020-10-30,22.35,24.07,7,0.0,-6.45,002346
3806,2013-02-08,17.17,2013-04-26,14.0,16.96,10,0.0,-18.46,002347
3807,2014-03-21,16.61,2016-03-11,27.25,63.84,90,323.34,64.06,002347
3808,2016-08-12,37.87,2017-03-31,32.74,48.79,31,4.95,-13.55,002347
3809,2019-03-29,18.05,2019-11-29,16.28,22.98,35,20.38,-9.81,002347
3810,2020-07-31,18.05,2021-01-15,15.17,18.98,24,3.1,-15.96,002347
3811,2012-07-06,36.83,2012-10-26,27.2,34.53,15,1.02,-26.15,002349
3812,2013-04-26,29.03,2015-10-23,91.88,196.6,115,563.07,216.5,002349
3813,2015-11-06,89.08,2016-11-11,90.14,97.83,24,4.88,1.19,002349
3814,2017-03-17,104.39,2017-05-19,72.74,94.41,9,0.0,-30.32,002349
3815,2019-04-12,57.51,2019-06-21,47.76,57.36,10,0.0,-16.95,002349
3816,2020-03-27,47.46,2020-05-29,38.76,47.84,9,12.33,-18.33,002349
3817,2020-07-31,47.99,2020-11-13,39.74,46.34,15,0.0,-17.19,002349
3818,2012-04-13,25.82,2012-11-30,19.6,29.66,32,13.12,-24.09,002350
3819,2013-09-27,27.99,2014-06-06,21.6,28.86,36,3.03,-22.83,002350
3820,2014-08-15,24.91,2016-01-29,32.29,67.87,71,164.09,29.63,002350
3821,2016-07-22,42.25,2017-05-09,43.72,50.79,41,18.95,3.48,002350
3822,2017-05-19,57.55,2017-11-17,37.54,69.38,25,0.0,-34.77,002350
3823,2019-03-29,31.23,2019-06-06,25.37,32.94,10,0.0,-18.76,002350
3824,2020-03-20,28.7,2020-03-27,27.08,27.08,1,0.0,-5.64,002350
3825,2020-07-31,26.45,2020-11-13,24.37,27.25,15,2.83,-7.86,002350
3826,2020-12-04,26.5,2021-03-12,26.5,29.87,14,9.61,0.0,002350
3827,2013-06-21,20.88,2015-09-25,38.58,107.74,114,373.79,84.77,002351
3828,2015-12-04,58.16,2016-01-29,35.32,58.02,8,4.99,-39.27,002351
3829,2016-07-22,50.7,2017-06-09,48.18,70.5,45,53.06,-4.97,002351
3830,2019-08-23,28.7,2021-01-08,84.24,140.52,71,397.94,193.52,002351
3831,2012-10-19,22.26,2012-10-26,21.5,21.5,1,0.0,-3.41,002352
3832,2013-11-15,29.25,2014-06-06,21.89,32.25,29,18.26,-25.16,002352
3833,2014-07-04,24.32,2016-03-11,35.65,60.1,87,140.21,46.59,002352
3834,2016-06-03,63.83,2018-02-02,151.7,191.99,85,150.8,137.66,002352
3835,2019-09-06,123.17,2021-05-14,195.26,356.96,87,194.98,58.53,002352
3836,2013-07-05,10.55,2016-07-29,72.3,117.59,101,986.78,585.31,002354
3837,2020-07-17,9.81,2021-01-15,8.91,12.75,26,29.97,-9.17,002354
3838,2021-05-14,10.54,2021-09-24,9.89,12.8,19,15.32,-6.17,002354
3839,2012-11-23,22.95,2013-08-09,21.86,27.1,35,29.85,-4.75,002356
3840,2013-08-16,22.4,2016-04-08,73.38,138.9,103,481.66,227.59,002356
