,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
1840,2016-04-15,114.47,2016-08-26,109.29,125.03,19,7.37,-4.53,002477
1841,2014-09-30,33.42,2015-01-30,33.49,35.93,17,6.11,0.21,002479
1842,2015-11-20,49.74,2016-01-22,35.5,53.45,9,1.42,-28.63,002479
1843,2020-09-04,27.92,2020-11-27,26.45,28.49,12,1.57,-5.27,002479
1844,2021-10-08,27.64,2021-10-29,23.09,23.67,3,0.0,-16.46,002479
1845,2015-12-04,93.74,2016-03-04,62.8,95.44,12,0.0,-33.01,002482
1846,2017-07-28,73.04,2017-12-01,67.28,80.16,17,10.47,-7.89,002482
1847,2014-08-22,22.1,2015-08-28,19.98,48.51,50,120.7,-9.59,002483
1848,2020-01-23,13.45,2020-05-29,14.05,19.38,17,21.28,4.46,002483
1849,2015-03-27,39.93,2015-09-02,30.59,65.08,23,51.53,-23.39,002484
1850,2015-11-20,52.54,2016-02-26,34.94,54.84,13,11.92,-33.5,002484
1851,2016-06-17,56.79,2016-08-05,48.07,54.13,7,2.85,-15.35,002484
1852,2021-08-27,15.59,2021-10-08,15.16,16.43,6,8.81,-2.76,002485
1853,2013-03-15,9.17,2013-04-26,8.06,9.34,6,0.0,-12.1,002486
1854,2013-08-23,10.8,2015-09-30,18.42,43.66,100,294.04,70.56,002486
1855,2015-12-18,27.1,2016-01-29,17.62,26.3,6,0.0,-34.98,002486
1856,2019-09-06,18.14,2019-12-13,13.26,22.38,14,5.87,-26.9,002486
1857,2015-11-06,73.03,2016-03-11,38.47,72.67,17,7.74,-47.32,002487
1858,2019-03-22,70.41,2019-05-24,49.31,62.64,9,2.96,-29.97,002488
1859,2014-08-01,25.5,2016-05-20,72.13,134.16,87,399.11,182.86,002489
1860,2013-03-15,12.97,2013-04-19,12.47,13.63,5,0.0,-3.86,002491
1861,2013-09-27,13.08,2015-08-28,21.38,47.82,100,263.65,63.46,002492
1862,2015-12-18,29.78,2016-01-29,21.72,33.02,6,0.0,-27.07,002492
1863,2019-12-06,19.8,2020-02-07,16.35,21.84,8,0.0,-17.42,002492
1864,2015-11-13,56.66,2016-07-01,49.88,66.62,32,20.47,-11.97,002493
1865,2017-07-07,62.34,2019-01-11,98.37,110.43,77,73.63,57.8,002493
1866,2019-02-22,104.04,2019-09-27,101.7,129.33,31,22.09,-2.25,002493
1867,2019-11-29,113.85,2020-03-06,109.08,117.27,13,2.84,-4.19,002493
1868,2014-08-08,18.44,2016-05-06,42.68,83.54,86,355.26,131.45,002494
1869,2015-12-18,109.76,2016-02-19,81.8,114.01,8,0.0,-25.47,002496
1870,2016-04-22,97.63,2016-06-08,91.23,105.16,7,9.91,-6.56,002496
