,id,low,middle,high
91,000426,1.2652898067954643,3.7380710870060323,8.09796612916296
92,000428,1.253132832080196,3.3264033264033293,6.931818181818175
93,000429,0.8458239738615388,2.142857142857145,4.59202163624071
94,000430,1.1551817869148877,2.9445073612684007,6.2666666666666675
95,000488,1.265822784810122,3.085400385644685,6.110458284371322
96,000498,1.2317187610113924,3.246266388376658,7.282085711088732
97,000501,1.2415752610017192,3.191099139641896,6.735829169269201
98,000502,1.266047055709483,3.5916824196597426,8.168235532316272
99,000503,1.5839832449158309,4.221663928882022,8.509136765965547
100,000504,1.485185185185179,4.274901728354687,9.077781424351828
101,000505,1.39889730762257,4.104658873604351,8.354978354978357
102,000506,1.2349715347000603,3.431729110140406,8.88523573200992
103,000507,1.3396940390086414,3.3781551721548926,7.343751444819461
104,000509,1.6742412402713074,4.166666666666666,9.190976425716919
