,id,box_p,box_os,profit_percent_per_year,max_loss_percent,max_drawdown_len,avg_drawdown_len
165,95-40,95,40,17.5,-25.79,5,1.52
166,95-50,95,50,12.5,-33.05,7,2.05
167,95-60,95,60,17.5,-34.95,6,2.26
168,95-70,95,70,7.5,-34.95,5,2.12
169,95-80,95,80,10.0,-34.95,5,2.22
170,95-90,95,90,12.5,-34.95,8,2.38
171,100-10,100,10,0.0,0.0,0,0.0
172,100-20,100,20,82.5,-21.9,1,1.0
173,100-30,100,30,15.0,-24.54,2,1.0
174,100-40,100,40,20.0,-25.79,5,1.49
175,100-50,100,50,15.0,-33.05,6,1.97
176,100-60,100,60,20.0,-30.46,6,2.21
177,100-70,100,70,7.5,-34.95,5,2.21
178,100-80,100,80,12.5,-34.95,5,2.15
179,100-90,100,90,15.0,-34.95,8,2.29
180,105-10,105,10,0.0,0.0,0,0.0
181,105-20,105,20,67.5,-21.9,1,1.0
182,105-30,105,30,20.0,-24.54,2,1.0
183,105-40,105,40,22.5,-25.79,5,1.44
184,105-50,105,50,17.5,-33.05,6,1.86
185,105-60,105,60,20.0,-30.46,6,2.06
186,105-70,105,70,7.5,-34.95,5,2.19
187,105-80,105,80,12.5,-34.95,5,2.13
188,105-90,105,90,15.0,-34.95,8,2.24
189,110-10,110,10,0.0,0.0,0,0.0
190,110-20,110,20,62.5,-21.9,0,0.0
191,110-30,110,30,22.5,-21.9,2,1.0
192,110-40,110,40,25.0,-25.79,4,1.23
193,110-50,110,50,20.0,-33.05,5,1.66
194,110-60,110,60,22.5,-30.46,5,1.83
195,110-70,110,70,7.5,-35.15,8,2.29
196,110-80,110,80,10.0,-34.95,5,2.22
197,110-90,110,90,15.0,-34.95,8,2.25
198,115-10,115,10,0.0,0.0,0,0.0
199,115-20,115,20,80.0,-13.17,0,0.0
200,115-30,115,30,30.0,-21.9,2,1.0
201,115-40,115,40,25.0,-29.33,4,1.35
202,115-50,115,50,20.0,-33.05,5,1.7
203,115-60,115,60,22.5,-30.46,5,1.82
204,115-70,115,70,10.0,-35.15,7,2.15
205,115-80,115,80,10.0,-30.46,5,2.11
206,115-90,115,90,15.0,-30.46,8,2.17
207,120-10,120,10,0.0,0.0,0,0.0
208,120-20,120,20,92.5,-13.17,0,0.0
209,120-30,120,30,40.0,-21.9,2,1.0
210,120-40,120,40,30.0,-29.33,3,1.26
211,120-50,120,50,22.5,-29.33,4,1.61
212,120-60,120,60,20.0,-30.46,5,1.84
213,120-70,120,70,12.5,-35.15,7,2.03
214,120-80,120,80,10.0,-30.46,5,2.06
215,120-90,120,90,15.0,-30.46,8,2.14
216,125-10,125,10,0.0,0.0,0,0.0
217,125-20,125,20,112.5,-13.17,0,0.0
218,125-30,125,30,45.0,-21.9,2,1.0
219,125-40,125,40,32.5,-23.51,3,1.45
220,125-50,125,50,20.0,-28.55,4,1.66
221,125-60,125,60,20.0,-30.46,4,1.84
222,125-70,125,70,10.0,-35.15,7,2.12
223,125-80,125,80,7.5,-30.46,5,2.12
224,125-90,125,90,15.0,-31.52,8,2.16
225,130-10,130,10,0.0,0.0,0,0.0
226,130-20,130,20,130.0,-13.17,0,0.0
227,130-30,130,30,47.5,-25.18,2,1.0
228,130-40,130,40,30.0,-25.18,3,1.5
229,130-50,130,50,17.5,-28.55,4,1.54
230,130-60,130,60,20.0,-30.46,4,1.78
231,130-70,130,70,12.5,-35.15,5,2.0
232,130-80,130,80,7.5,-30.46,5,2.06
233,130-90,130,90,15.0,-31.52,7,2.09
234,135-10,135,10,0.0,0.0,0,0.0
235,135-20,135,20,150.0,-13.17,0,0.0
236,135-30,135,30,50.0,-25.18,2,1.0
237,135-40,135,40,30.0,-25.18,3,1.5
238,135-50,135,50,20.0,-29.31,4,1.39
239,135-60,135,60,22.5,-29.31,4,1.63
240,135-70,135,70,15.0,-35.15,5,1.91
241,135-80,135,80,12.5,-30.46,5,1.94
242,135-90,135,90,17.5,-31.52,7,2.03
243,140-10,140,10,0.0,0.0,0,0.0
244,140-20,140,20,150.0,-13.17,0,0.0
245,140-30,140,30,50.0,-20.63,2,1.0
246,140-40,140,40,25.0,-25.82,2,1.38
247,140-50,140,50,20.0,-29.31,3,1.29
248,140-60,140,60,20.0,-29.31,4,1.53
249,140-70,140,70,15.0,-35.15,5,1.84
250,140-80,140,80,12.5,-30.46,5,1.85
251,140-90,140,90,17.5,-31.52,7,1.97
252,145-10,145,10,0.0,0.0,0,0.0
253,145-20,145,20,42.5,-13.17,0,0.0
254,145-30,145,30,55.0,-26.6,2,1.0
255,145-40,145,40,27.5,-25.82,2,1.23
256,145-50,145,50,22.5,-29.31,3,1.26
257,145-60,145,60,20.0,-32.89,4,1.47
258,145-70,145,70,12.5,-39.88,5,1.73
259,145-80,145,80,12.5,-32.89,5,1.84
260,145-90,145,90,15.0,-32.89,7,1.94
261,150-10,150,10,0.0,0.0,0,0.0
262,150-20,150,20,70.0,-13.17,0,0.0
263,150-30,150,30,62.5,-20.1,2,1.33
